# tildes-es.tsv — mapa de restauración de tildes (generado, NO editar a mano)
# Generador: scripts/gen-tildes.ts  |  Regla: entra solo si la forma sin
# tilde NO es palabra española válida y la restauración es única.
# Fuente: RLA-ES via LibreOffice/dictionaries (MPL 1.1)
# es_ES.dic sha256=6975dddec3d5d2c676069537bc67b4b5f786c65c5d4cf6703a82acf779ac9ec1
# es_ES.aff sha256=e73a9bf8e1383f4986a5dc9e2fbed49371c0c61f511c626d15586bd433c1cad9
# pares=157895
abaca	abacá
abominasemos	abominásemos
abomineis	abominéis
abonabamos	abonábamos
abonais	abonáis
abonanceis	abonancéis
abonandose	abonándose
abonanzabamos	abonanzábamos
abonanzais	abonanzáis
abonanzandose	abonanzándose
abonanzaramos	abonanzáramos
abonanzaria	abonanzaría
abonanzariais	abonanzaríais
abonanzariamos	abonanzaríamos
abonanzarian	abonanzarían
abonanzarias	abonanzarías
abonanzasemos	abonanzásemos
abonaramos	abonáramos
abonaria	abonaría
abonariais	abonaríais
abonariamos	abonaríamos
abonarian	abonarían
abonarias	abonarías
abonarmela	abonármela
abonarmelas	abonármelas
abonarmelo	abonármelo
abonarmelos	abonármelos
abonarnosla	abonárnosla
abonarnoslas	abonárnoslas
abonarnoslo	abonárnoslo
abonarnoslos	abonárnoslos
abonarosla	abonárosla
abonaroslas	abonároslas
abonaroslo	abonároslo
abonaroslos	abonároslos
abonarsela	abonársela
abonarselas	abonárselas
abonarselo	abonárselo
abonarselos	abonárselos
abonartela	abonártela
abonartelas	abonártelas
abonartelo	abonártelo
abonartelos	abonártelos
abonasemos	abonásemos
aboneis	abonéis
aboqueis	aboquéis
aboquillabamos	aboquillábamos
aboquillais	aboquilláis
aboquillandose	aboquillándose
aboquillaramos	aboquilláramos
aboquillaria	aboquillaría
aboquillariais	aboquillaríais
aboquillariamos	aboquillaríamos
aboquillarian	aboquillarían
aboquillarias	aboquillarías
aboquillasemos	aboquillásemos
aboquilleis	aboquilléis
abordabamos	abordábamos
abordais	abordáis
abordandola	abordándola
abordandolas	abordándolas
abordandolo	abordándolo
abordandolos	abordándolos
abordandose	abordándose
abordaramos	abordáramos
abordaria	abordaría
abordariais	abordaríais
abordariamos	abordaríamos
abordarian	abordarían
abordarias	abordarías
abordasemos	abordásemos
abordeis	abordéis
aborigenes	aborígenes
aborrajabamos	aborrajábamos
aborrajais	aborrajáis
aborrajandose	aborrajándose
aborrajaramos	aborrajáramos
aborrajaria	aborrajaría
aborrajariais	aborrajaríais
aborrajariamos	aborrajaríamos
aborrajarian	aborrajarían
aborrajarias	aborrajarías
aborrajasemos	aborrajásemos
aborrajeis	aborrajéis
aborrascabamos	aborrascábamos
aborrascais	aborrascáis
aborrascandose	aborrascándose
aborrascaramos	aborrascáramos
aborrascaria	aborrascaría
aborrascariais	aborrascaríais
aborrascariamos	aborrascaríamos
aborrascarian	aborrascarían
aborrascarias	aborrascarías
aborrascasemos	aborrascásemos
aborrasqueis	aborrasquéis
aborreceis	aborrecéis
aborrecera	aborrecerá
aborreceran	aborrecerán
aborreceras	aborrecerás
aborrecere	aborreceré
aborrecereis	aborreceréis
aborreceria	aborrecería
aborreceriais	aborreceríais
aborreceriamos	aborreceríamos
aborrecerian	aborrecerían
aborrecerias	aborrecerías
aborreci	aborrecí
aborrecia	aborrecía
aborreciais	aborrecíais
aborreciamos	aborrecíamos
aborrecian	aborrecían
aborrecias	aborrecías
aborreciendose	aborreciéndose
aborrecieramos	aborreciéramos
aborrecieremos	aborreciéremos
aborreciesemos	aborreciésemos
aborrecio	aborreció
aborregabamos	aborregábamos
aborregais	aborregáis
aborregandose	aborregándose
